P1 Avg. Speak,P2 Avg. Speak,P1 Avg. Rank,P2 Avg. Rank,P1 W:L,P2 W:L,P3 Avg. Speak,P4 Avg. Speak,P3 Avg. Rank,P4 Avg. Rank,P3 W:L,P4 W:L,Winner G/O
26.9,29.0,2.6,2.4,0.43,0.67,24.62,26.2,3.38,3.0,0.32,0.25,G
26.9,29.0,2.6,2.4,0.43,0.67,25.8,26.86,3.8,3.07,0.0,0.17,G
30.0,28.13,1.96,2.8,1.5,1.5,26.4,28.53,3.6,2.13,0.67,1.5,G
30.0,28.13,1.96,2.8,1.5,1.5,26.43,25.33,2.86,3.67,0.56,0.29,G
30.0,28.13,1.96,2.8,1.5,1.5,27.6,31.12,3.04,1.76,0.56,4.0,G
29.93,28.3,1.6,2.5,1.5,1.5,25.8,26.86,3.8,3.07,0.0,0.17,O
29.93,28.3,1.6,2.5,1.5,1.5,29.15,28.4,2.35,2.8,0.82,0.67,G
28.2,28.6,3.1,2.0,1.5,1.5,26.8,29.89,3.4,2.11,1.5,1.11,G
28.2,28.6,3.1,2.0,1.5,1.5,26.4,28.6,3.6,2.0,0.25,0.25,O
28.2,28.6,3.1,2.0,1.5,1.5,29.47,28.36,2.12,2.84,1.29,0.92,O
28.93,27.3,1.93,3.2,0.88,0.67,26.4,28.6,3.6,2.0,0.25,0.25,G
28.93,27.3,1.93,3.2,0.88,0.67,27.6,31.12,3.04,1.76,0.56,4.0,O
30.53,30.4,2.11,1.8,1.71,1.5,27.6,28.55,3.6,2.35,0.67,0.67,O
30.53,30.4,2.11,1.8,1.71,1.5,28.2,28.6,3.1,2.0,1.5,1.5,G
30.53,30.4,2.11,1.8,1.71,1.5,29.93,28.3,1.6,2.5,1.5,1.5,O
27.6,31.12,3.04,1.76,0.56,4.0,24.62,26.2,3.38,3.0,0.32,0.25,O
27.6,31.12,3.04,1.76,0.56,4.0,27.6,28.55,3.6,2.35,0.67,0.67,G
29.37,29.48,2.32,2.2,2.17,2.57,27.4,27.4,2.8,2.6,0.25,0.25,G
29.37,29.48,2.32,2.2,2.17,2.57,28.2,28.6,3.1,2.0,1.5,1.5,O
29.37,29.48,2.32,2.2,2.17,2.57,28.23,24.5,2.67,3.12,1.0,1.0,G
29.37,29.48,2.32,2.2,2.17,2.57,28.13,32.24,3.07,1.24,1.5,6.5,O
28.23,24.5,2.67,3.12,1.0,1.0,26.9,29.0,2.6,2.4,0.43,0.67,G
28.23,24.5,2.67,3.12,1.0,1.0,29.56,27.4,2.38,2.8,1.0,0.5,G
28.13,32.24,3.07,1.24,1.5,6.5,22.56,23.0,3.56,3.22,0.0,0.0,G
28.13,32.24,3.07,1.24,1.5,6.5,30.53,30.4,2.11,1.8,1.71,1.5,O
28.13,32.24,3.07,1.24,1.5,6.5,29.93,28.3,1.6,2.5,1.5,1.5,O
28.13,32.24,3.07,1.24,1.5,6.5,29.41,30.05,1.97,1.75,1.9,1.86,O
29.47,29.64,1.97,2.21,1.31,1.33,27.2,31.0,3.0,1.9,1.5,2.33,G
29.47,29.64,1.97,2.21,1.31,1.33,27.6,28.55,3.6,2.35,0.67,0.67,O
29.47,29.64,1.97,2.21,1.31,1.33,28.93,27.3,1.93,3.2,0.88,0.67,G
26.4,28.53,3.6,2.13,0.67,1.5,25.8,26.86,3.8,3.07,0.0,0.17,G
26.4,28.53,3.6,2.13,0.67,1.5,27.4,27.4,2.8,2.6,0.25,0.25,G
27.6,29.8,3.4,2.0,0.67,1.5,29.15,28.4,2.35,2.8,0.82,0.67,O
27.6,29.8,3.4,2.0,0.67,1.5,24.62,26.2,3.38,3.0,0.32,0.25,O
24.97,27.8,3.62,2.2,0.33,0.43,27.4,27.4,2.8,2.6,0.25,0.25,O
30.94,29.8,1.61,2.4,5.2,2.33,29.15,28.4,2.35,2.8,0.82,0.67,O
30.94,29.8,1.61,2.4,5.2,2.33,29.47,28.36,2.12,2.84,1.29,0.92,G
30.94,29.8,1.61,2.4,5.2,2.33,28.23,24.5,2.67,3.12,1.0,1.0,O
