P1 Avg. Speak,P2 Avg. Speak,P1 Avg. Rank,P2 Avg. Rank,P1 W:L,P2 W:L,P3 Avg. Speak,P4 Avg. Speak,P3 Avg. Rank,P4 Avg. Rank,P3 W:L,P4 W:L,Winner G/O
27.79,28.8,2.05,2.75,1.11,1.86,28.79,28.0,2.07,2.3,2.22,1.5,O
27.79,28.8,2.05,2.75,1.11,1.86,26.8,29.59,2.3,2.24,1.5,1.83,O
25.9,26.93,2.8,2.67,0.67,0.67,31.0,28.52,1.2,2.68,1.5,1.5,O
28.4,27.8,2.4,2.87,0.67,0.67,26.5,28.16,3.5,2.68,0.0,0.58,G
27.2,28.17,3.8,2.8,0.67,1.0,27.85,28.13,2.85,2.13,0.54,0.88,G
30.69,29.4,1.78,2.7,6.5,9.0,25.89,26.78,2.44,2.44,0.5,0.5,O
30.69,29.4,1.78,2.7,6.5,9.0,27.85,28.13,2.85,2.13,0.54,0.88,O
30.69,29.4,1.78,2.7,6.5,9.0,28.32,28.47,2.33,2.67,0.9,2.0,G
31.0,28.52,1.2,2.68,1.5,1.5,25.89,26.78,2.44,2.44,0.5,0.5,O
31.0,28.52,1.2,2.68,1.5,1.5,26.5,28.16,3.5,2.68,0.0,0.58,O
28.0,27.33,2.7,2.67,0.43,0.5,26.6,26.7,3.0,3.2,0.25,0.43,G
29.47,28.36,2.12,2.84,1.29,0.92,24.12,22.14,2.88,3.57,0.14,0.17,G
29.47,28.36,2.12,2.84,1.29,0.92,29.68,29.44,2.6,1.88,1.35,1.78,O
29.47,28.36,2.12,2.84,1.29,0.92,29.0,28.5,2.8,2.9,1.5,1.5,G
28.8,29.3,2.75,2.2,1.86,2.33,26.0,25.75,3.33,3.0,0.29,1.0,O
28.8,29.3,2.75,2.2,1.86,2.33,29.68,29.44,2.6,1.88,1.35,1.78,O
28.8,29.3,2.75,2.2,1.86,2.33,29.26,28.52,2.0,2.68,1.27,1.5,G
28.8,29.3,2.75,2.2,1.86,2.33,29.83,25.44,1.91,2.32,1.3,0.48,O
29.0,28.5,2.8,2.9,1.5,1.5,27.6,28.0,2.0,2.8,1.0,0.67,G
29.0,28.5,2.8,2.9,1.5,1.5,26.6,26.7,3.0,3.2,0.25,0.43,G
29.0,28.5,2.8,2.9,1.5,1.5,29.83,25.44,1.91,2.32,1.3,0.48,O
25.79,25.5,2.57,2.96,0.4,0.5,26.5,25.67,3.5,3.67,0.0,0.0,G
25.79,25.5,2.57,2.96,0.4,0.5,26.6,26.7,3.0,3.2,0.25,0.43,O
28.2,27.8,2.8,2.3,1.5,0.43,29.0,28.5,2.8,2.9,1.5,1.5,G
28.2,27.8,2.8,2.3,1.5,0.43,28.0,27.33,2.7,2.67,0.43,0.5,O
27.6,28.0,2.0,2.8,1.0,0.67,18.75,21.78,3.0,3.33,0.0,0.0,G
27.6,28.0,2.0,2.8,1.0,0.67,28.0,27.33,2.7,2.67,0.43,0.5,O
26.0,25.75,3.33,3.0,0.29,1.0,27.6,28.0,2.0,2.8,1.0,0.67,G
26.6,26.7,3.0,3.2,0.25,0.43,18.75,21.78,3.0,3.33,0.0,0.0,G
27.0,27.8,3.0,2.2,0.67,0.67,24.12,22.14,2.88,3.57,0.14,0.17,G
27.0,27.8,3.0,2.2,0.67,0.67,26.5,25.67,3.5,3.67,0.0,0.0,O
29.83,25.44,1.91,2.32,1.3,0.48,26.6,26.7,3.0,3.2,0.25,0.43,O
29.83,25.44,1.91,2.32,1.3,0.48,28.2,27.8,2.8,2.3,1.5,0.43,O
29.26,28.52,2.0,2.68,1.27,1.5,18.75,21.78,3.0,3.33,0.0,0.0,O
29.26,28.52,2.0,2.68,1.27,1.5,26.5,25.67,3.5,3.67,0.0,0.0,O
29.26,28.52,2.0,2.68,1.27,1.5,28.2,27.8,2.8,2.3,1.5,0.43,G
29.68,29.44,2.6,1.88,1.35,1.78,27.6,28.0,2.0,2.8,1.0,0.67,O
29.68,29.44,2.6,1.88,1.35,1.78,24.12,22.14,2.88,3.57,0.14,0.17,O
31.63,30.9,1.7,1.82,14.0,5.25,29.47,28.36,2.12,2.84,1.29,0.92,G
31.63,30.9,1.7,1.82,14.0,5.25,26.0,25.75,3.33,3.0,0.29,1.0,O
31.63,30.9,1.7,1.82,14.0,5.25,28.8,29.3,2.75,2.2,1.86,2.33,O
31.63,30.9,1.7,1.82,14.0,5.25,29.26,28.52,2.0,2.68,1.27,1.5,O
27.64,29.75,3.36,2.25,0.75,0.33,23.25,22.0,2.5,3.0,0.33,0.33,O
29.56,30.0,1.89,2.5,1.25,3.0,24.0,24.62,3.0,3.38,0.33,0.32,G
29.56,30.0,1.89,2.5,1.25,3.0,25.78,28.33,2.67,2.67,0.29,1.25,O
29.56,30.0,1.89,2.5,1.25,3.0,26.56,27.78,3.22,1.89,2.0,2.0,O
23.11,25.33,3.22,2.0,0.5,0.5,27.07,28.86,2.79,2.14,1.8,1.8,O
30.65,30.44,1.88,1.87,2.4,2.9,27.25,27.75,3.0,2.25,1.0,1.0,O
30.65,30.44,1.88,1.87,2.4,2.9,27.31,26.67,3.23,3.33,0.18,0.0,G
30.65,30.44,1.88,1.87,2.4,2.9,26.67,27.25,2.5,2.75,0.5,1.0,O
27.71,29.15,2.36,2.62,1.33,1.6,24.75,27.5,3.5,2.25,0.33,0.33,G
27.71,29.15,2.36,2.62,1.33,1.6,26.89,27.37,2.33,2.89,0.29,0.46,O
27.71,29.15,2.36,2.62,1.33,1.6,27.44,27.89,2.33,2.11,1.25,2.0,O
30.13,31.47,1.79,1.62,3.88,7.5,26.44,26.67,2.78,2.56,0.8,0.8,G
30.13,31.47,1.79,1.62,3.88,7.5,31.32,28.79,1.63,2.07,5.33,2.22,O
30.13,31.47,1.79,1.62,3.88,7.5,29.5,29.5,2.5,2.25,1.0,1.0,G
30.13,31.47,1.79,1.62,3.88,7.5,29.29,29.64,2.5,2.21,1.8,1.33,G
29.5,29.33,2.0,2.78,1.0,0.8,19.5,19.0,2.5,3.5,0.0,0.0,O
29.5,29.33,2.0,2.78,1.0,0.8,26.25,27.25,3.75,2.5,0.33,0.33,G
31.0,30.03,1.43,2.19,6.0,2.44,25.79,25.5,2.57,2.96,0.4,0.5,G
31.0,30.03,1.43,2.19,6.0,2.44,28.25,29.47,2.75,2.18,1.0,1.0,G
31.0,30.03,1.43,2.19,6.0,2.44,27.33,28.71,3.44,2.43,1.25,1.8,O
31.0,30.03,1.43,2.19,6.0,2.44,29.78,28.52,2.0,2.52,2.0,1.09,O
25.89,22.25,2.11,1.75,1.25,1.0,22.25,24.0,4.0,2.75,0.0,0.0,G
25.89,22.25,2.11,1.75,1.25,1.0,27.5,28.25,3.5,2.0,1.0,1.0,G
30.94,30.35,1.61,2.03,5.2,1.83,30.07,29.11,2.02,2.58,1.69,1.11,G
30.94,30.35,1.61,2.03,5.2,1.83,28.05,28.0,2.47,2.67,1.11,1.0,O
30.94,30.35,1.61,2.03,5.2,1.83,24.0,24.33,3.33,3.67,0.09,0.0,G
30.94,30.35,1.61,2.03,5.2,1.83,30.43,28.21,1.93,2.32,1.8,1.11,G
25.5,24.0,2.75,3.75,0.33,0.33,25.59,25.33,2.86,3.5,0.38,0.0,O
27.25,25.75,2.25,3.5,0.33,0.33,24.97,25.0,3.62,3.25,0.33,0.0,O
25.75,24.75,2.75,3.25,0.33,0.33,24.97,25.0,3.62,3.25,0.33,0.0,O
23.25,22.0,2.5,3.0,0.33,0.33,26.75,23.75,3.25,3.5,0.0,0.0,O
24.5,26.47,3.25,3.05,0.33,0.46,26.75,23.75,3.25,3.5,0.0,0.0,G
26.11,27.36,3.11,2.5,0.29,0.56,25.0,26.75,3.5,1.75,1.0,1.0,G
29.56,27.58,2.38,2.92,1.0,0.6,25.0,25.77,3.33,2.85,0.5,0.44,G
29.56,27.58,2.38,2.92,1.0,0.6,27.67,28.71,2.67,2.21,0.8,1.33,O
27.75,27.25,2.0,3.0,1.0,1.0,19.5,19.0,2.5,3.5,0.0,0.0,G
29.95,29.89,2.0,2.11,1.44,1.11,26.0,28.83,2.56,2.28,0.8,1.42,O
29.95,29.89,2.0,2.11,1.44,1.11,26.56,27.78,3.22,1.89,2.0,2.0,O
26.86,27.22,3.07,3.11,0.17,0.5,24.97,25.0,3.62,3.25,0.33,0.0,G
28.5,27.67,2.25,2.22,0.33,0.8,26.0,25.75,3.25,3.25,0.33,0.33,O
29.83,27.0,1.91,3.08,1.3,1.17,25.14,26.15,3.36,2.62,0.17,0.18,G
29.83,27.0,1.91,3.08,1.3,1.17,26.25,27.25,3.75,2.5,0.33,0.33,O
26.61,28.5,3.04,2.57,0.75,0.56,26.15,24.5,2.31,3.12,1.6,1.0,O
26.61,28.5,3.04,2.57,0.75,0.56,29.26,29.56,2.0,2.11,1.27,2.0,G
24.5,26.5,3.0,3.44,1.0,0.38,25.59,25.33,2.86,3.5,0.38,0.0,G
24.5,26.5,3.0,3.44,1.0,0.38,28.5,27.67,2.25,2.22,0.33,0.8,O
25.44,26.42,2.32,2.79,0.48,0.9,27.33,25.79,2.33,3.21,0.8,0.56,G
30.07,29.11,2.02,2.58,1.69,1.11,25.14,26.15,3.36,2.62,0.17,0.18,G
30.07,29.11,2.02,2.58,1.69,1.11,26.43,26.5,2.86,2.75,0.56,1.0,O
30.07,29.11,2.02,2.58,1.69,1.11,28.25,29.47,2.75,2.18,1.0,1.0,G
27.93,28.33,2.36,2.11,0.56,0.8,25.59,25.33,2.86,3.5,0.38,0.0,O
27.93,28.33,2.36,2.11,0.56,0.8,26.11,27.36,3.11,2.5,0.29,0.56,G
24.33,25.21,2.89,2.79,0.29,0.27,26.75,23.75,3.25,3.5,0.0,0.0,O
24.33,25.21,2.89,2.79,0.29,0.27,27.25,25.75,2.25,3.5,0.33,0.33,O
27.11,26.5,2.67,3.43,0.5,0.4,24.5,26.47,3.25,3.05,0.33,0.46,G
27.11,26.5,2.67,3.43,0.5,0.4,26.89,27.37,2.33,2.89,0.29,0.46,O
26.67,27.25,2.5,2.75,0.5,1.0,26.88,26.0,3.0,3.12,0.33,0.33,O
26.67,27.25,2.5,2.75,0.5,1.0,27.56,29.0,3.11,1.5,1.25,1.0,O
25.14,26.15,3.36,2.62,0.17,0.18,22.25,24.0,4.0,2.75,0.0,0.0,G
26.67,26.58,2.78,3.05,0.5,0.46,26.0,25.75,3.25,3.25,0.33,0.33,G
26.67,26.58,2.78,3.05,0.5,0.46,27.31,26.67,3.23,3.33,0.18,0.0,O
25.0,25.77,3.33,2.85,0.5,0.44,27.07,27.33,2.86,2.44,1.0,0.5,G
25.0,25.77,3.33,2.85,0.5,0.44,26.86,27.22,3.07,3.11,0.17,0.5,G
25.79,25.5,2.57,2.96,0.4,0.5,26.0,25.75,3.25,3.25,0.33,0.33,G
27.0,27.95,2.71,2.63,0.4,0.46,26.88,26.0,3.0,3.12,0.33,0.33,O
31.62,30.0,1.42,2.41,3.0,1.9,28.11,28.71,2.16,1.93,1.71,1.8,G
31.62,30.0,1.42,2.41,3.0,1.9,25.44,26.42,2.32,2.79,0.48,0.9,O
31.62,30.0,1.42,2.41,3.0,1.9,28.78,29.33,2.44,2.56,1.25,2.0,O
31.62,30.0,1.42,2.41,3.0,1.9,27.71,29.15,2.36,2.62,1.33,1.6,O
28.79,29.21,2.29,2.57,1.0,0.75,22.25,24.0,4.0,2.75,0.0,0.0,G
28.79,29.21,2.29,2.57,1.0,0.75,24.0,24.33,3.33,3.67,0.09,0.0,O
29.55,29.59,1.83,2.24,1.64,1.83,27.56,29.0,3.11,1.5,1.25,1.0,G
29.55,29.59,1.83,2.24,1.64,1.83,29.83,27.0,1.91,3.08,1.3,1.17,O
29.55,29.59,1.83,2.24,1.64,1.83,27.07,28.86,2.79,2.14,1.8,1.8,G
30.79,31.22,1.97,1.39,2.62,6.71,21.5,26.11,2.75,2.89,0.33,0.8,O
30.79,31.22,1.97,1.39,2.62,6.71,17.75,17.25,3.25,3.75,0.0,0.0,G
29.26,29.56,2.0,2.11,1.27,2.0,25.75,24.75,2.75,3.25,0.33,0.33,O
29.26,29.56,2.0,2.11,1.27,2.0,27.75,27.25,2.0,3.0,1.0,1.0,G
29.26,29.56,2.0,2.11,1.27,2.0,29.56,27.58,2.38,2.92,1.0,0.6,G
31.0,30.57,1.86,2.24,2.5,2.38,27.64,29.75,3.36,2.25,0.75,0.33,O
31.0,30.57,1.86,2.24,2.5,2.38,29.83,27.0,1.91,3.08,1.3,1.17,G
31.0,30.57,1.86,2.24,2.5,2.38,26.67,26.58,2.78,3.05,0.5,0.46,O
31.0,30.57,1.86,2.24,2.5,2.38,29.78,28.75,1.78,3.25,2.0,3.0,G
29.71,30.42,2.17,1.84,2.0,2.8,29.5,29.33,2.0,2.78,1.0,0.8,G
29.71,30.42,2.17,1.84,2.0,2.8,27.67,29.5,2.33,2.44,2.0,1.57,O
29.71,30.42,2.17,1.84,2.0,2.8,29.0,28.38,2.0,1.85,3.0,1.6,G
29.71,30.42,2.17,1.84,2.0,2.8,29.56,30.0,1.89,2.5,1.25,3.0,O
30.0,31.25,2.5,1.75,3.0,3.0,28.21,26.64,2.05,3.21,0.73,0.56,G
30.0,31.25,2.5,1.75,3.0,3.0,25.25,26.57,3.0,3.0,0.33,0.56,O
30.0,31.25,2.5,1.75,3.0,3.0,26.42,26.43,2.53,2.71,0.73,1.0,G
26.25,27.25,3.75,2.5,0.33,0.33,25.79,25.5,2.57,2.96,0.4,0.5,O
20.25,18.0,2.25,3.5,0.33,0.33,25.89,26.0,3.67,3.33,0.12,0.12,O
25.0,26.75,3.5,1.75,1.0,1.0,25.89,26.0,3.67,3.33,0.12,0.12,G
25.0,26.75,3.5,1.75,1.0,1.0,26.88,26.0,3.0,3.12,0.33,0.33,O
24.75,27.5,3.5,2.25,0.33,0.33,25.14,26.15,3.36,2.62,0.17,0.18,O
25.25,26.57,3.0,3.0,0.33,0.56,26.43,26.5,2.86,2.75,0.56,1.0,G
28.25,29.47,2.75,2.18,1.0,1.0,27.5,28.25,3.5,2.0,1.0,1.0,G
28.25,29.47,2.75,2.18,1.0,1.0,27.33,25.79,2.33,3.21,0.8,0.56,G
28.47,26.75,2.16,3.25,0.73,1.0,26.86,27.22,3.07,3.11,0.17,0.5,G
28.47,26.75,2.16,3.25,0.73,1.0,28.67,28.64,1.89,2.32,1.0,0.83,O
26.44,26.67,2.78,2.56,0.8,0.8,20.25,18.0,2.25,3.5,0.33,0.33,O
26.44,26.67,2.78,2.56,0.8,0.8,26.89,27.37,2.33,2.89,0.29,0.46,G
26.88,26.0,3.0,3.12,0.33,0.33,25.75,24.75,2.75,3.25,0.33,0.33,O
26.56,27.78,3.22,1.89,2.0,2.0,28.5,27.67,2.25,2.22,0.33,0.8,O
26.56,27.78,3.22,1.89,2.0,2.0,27.93,28.33,2.36,2.11,0.56,0.8,O
26.42,26.43,2.53,2.71,0.73,1.0,13.25,12.75,2.75,3.75,0.0,0.0,O
26.42,26.43,2.53,2.71,0.73,1.0,28.5,27.67,2.25,2.22,0.33,0.8,G
28.11,27.58,2.11,2.62,1.38,1.0,17.75,17.25,3.25,3.75,0.0,0.0,G
28.11,27.58,2.11,2.62,1.38,1.0,24.5,26.47,3.25,3.05,0.33,0.46,G
28.11,27.58,2.11,2.62,1.38,1.0,27.44,27.89,2.33,2.11,1.25,2.0,O
28.21,26.64,2.05,3.21,0.73,0.56,24.75,27.5,3.5,2.25,0.33,0.33,O
28.21,26.64,2.05,3.21,0.73,0.56,23.11,25.33,3.22,2.0,0.5,0.5,G
28.05,28.0,2.47,2.67,1.11,1.0,22.25,24.0,4.0,2.75,0.0,0.0,O
28.05,28.0,2.47,2.67,1.11,1.0,29.25,28.5,2.25,2.5,1.0,1.0,O
24.0,24.62,3.0,3.38,0.33,0.32,23.25,22.0,2.5,3.0,0.33,0.33,G
26.0,25.75,3.25,3.25,0.33,0.33,25.59,25.33,2.86,3.5,0.38,0.0,G
27.33,25.79,2.33,3.21,0.8,0.56,28.79,29.21,2.29,2.57,1.0,0.75,G
27.33,25.79,2.33,3.21,0.8,0.56,24.5,26.47,3.25,3.05,0.33,0.46,O
29.78,28.52,2.0,2.52,2.0,1.09,23.25,22.0,2.5,3.0,0.33,0.33,O
29.78,28.52,2.0,2.52,2.0,1.09,21.0,24.88,2.75,3.56,0.33,0.23,O
29.78,28.52,2.0,2.52,2.0,1.09,31.0,29.58,1.78,2.29,2.0,1.4,G
21.0,24.88,2.75,3.56,0.33,0.23,13.25,12.75,2.75,3.75,0.0,0.0,O
26.89,27.37,2.33,2.89,0.29,0.46,27.75,27.25,2.0,3.0,1.0,1.0,O
31.0,29.58,1.78,2.29,2.0,1.4,28.67,28.64,1.89,2.32,1.0,0.83,O
31.0,29.58,1.78,2.29,2.0,1.4,29.25,28.5,2.25,2.5,1.0,1.0,G
31.0,29.58,1.78,2.29,2.0,1.4,28.47,26.75,2.16,3.25,0.73,1.0,G
26.0,28.83,2.56,2.28,0.8,1.42,26.75,23.75,3.25,3.5,0.0,0.0,O
26.0,28.83,2.56,2.28,0.8,1.42,25.44,26.42,2.32,2.79,0.48,0.9,G
26.0,28.83,2.56,2.28,0.8,1.42,29.5,29.5,2.5,2.25,1.0,1.0,O
29.5,29.5,2.5,2.25,1.0,1.0,24.97,25.0,3.62,3.25,0.33,0.0,G
29.5,29.5,2.5,2.25,1.0,1.0,28.47,26.75,2.16,3.25,0.73,1.0,O
30.43,28.21,1.93,2.32,1.8,1.11,27.75,27.44,2.75,2.67,1.0,2.0,O
30.43,28.21,1.93,2.32,1.8,1.11,28.11,27.58,2.11,2.62,1.38,1.0,G
30.43,28.21,1.93,2.32,1.8,1.11,28.56,28.25,1.67,2.25,2.0,3.0,G
27.07,27.33,2.86,2.44,1.0,0.5,17.75,17.25,3.25,3.75,0.0,0.0,O
28.11,28.71,2.16,1.93,1.71,1.8,25.5,24.0,2.75,3.75,0.33,0.33,O
28.11,28.71,2.16,1.93,1.71,1.8,25.78,28.33,2.67,2.67,0.29,1.25,O
26.0,28.11,3.29,2.33,0.4,1.25,19.5,19.0,2.5,3.5,0.0,0.0,G
26.0,28.11,3.29,2.33,0.4,1.25,24.75,27.5,3.5,2.25,0.33,0.33,O
27.07,28.86,2.79,2.14,1.8,1.8,26.86,27.22,3.07,3.11,0.17,0.5,O
27.07,28.86,2.79,2.14,1.8,1.8,26.0,28.11,3.29,2.33,0.4,1.25,G
27.67,28.71,2.67,2.21,0.8,1.33,26.42,26.43,2.53,2.71,0.73,1.0,O
27.67,28.71,2.67,2.21,0.8,1.33,27.31,26.67,3.23,3.33,0.18,0.0,O
29.0,28.38,2.0,1.85,3.0,1.6,25.5,24.0,2.75,3.75,0.33,0.33,G
29.0,28.38,2.0,1.85,3.0,1.6,27.33,28.71,3.44,2.43,1.25,1.8,O
30.33,31.22,1.56,2.22,3.5,8.0,30.0,27.93,2.25,2.93,1.0,0.75,G
30.33,31.22,1.56,2.22,3.5,8.0,24.5,26.5,3.0,3.44,1.0,0.38,O
30.33,31.22,1.56,2.22,3.5,8.0,26.67,26.58,2.78,3.05,0.5,0.46,O
28.78,29.33,2.44,2.56,1.25,2.0,27.25,27.75,3.0,2.25,1.0,1.0,O
28.78,29.33,2.44,2.56,1.25,2.0,30.79,31.22,1.97,1.39,2.62,6.71,O
28.78,29.33,2.44,2.56,1.25,2.0,26.61,28.5,3.04,2.57,0.75,0.56,G
27.56,29.0,3.11,1.5,1.25,1.0,27.07,27.33,2.86,2.44,1.0,0.5,O
27.56,29.0,3.11,1.5,1.25,1.0,24.0,24.62,3.0,3.38,0.33,0.32,G
29.29,29.64,2.5,2.21,1.8,1.33,30.65,30.44,1.88,1.87,2.4,2.9,O
29.29,29.64,2.5,2.21,1.8,1.33,26.0,28.11,3.29,2.33,0.4,1.25,G
29.29,29.64,2.5,2.21,1.8,1.33,30.0,31.25,2.5,1.75,3.0,3.0,G
30.0,27.93,2.25,2.93,1.0,0.75,25.89,26.0,3.67,3.33,0.12,0.12,G
30.0,27.93,2.25,2.93,1.0,0.75,21.0,24.88,2.75,3.56,0.33,0.23,O
21.5,26.11,2.75,2.89,0.33,0.8,28.21,26.64,2.05,3.21,0.73,0.56,O
27.75,27.44,2.75,2.67,1.0,2.0,25.0,25.77,3.33,2.85,0.5,0.44,O
27.75,27.44,2.75,2.67,1.0,2.0,30.0,27.93,2.25,2.93,1.0,0.75,O
26.43,26.5,2.86,2.75,0.56,1.0,25.75,24.75,2.75,3.25,0.33,0.33,G
26.43,26.5,2.86,2.75,0.56,1.0,26.11,27.36,3.11,2.5,0.29,0.56,O
26.15,24.5,2.31,3.12,1.6,1.0,27.64,29.75,3.36,2.25,0.75,0.33,O
27.44,27.89,2.33,2.11,1.25,2.0,28.79,29.21,2.29,2.57,1.0,0.75,O
27.44,27.89,2.33,2.11,1.25,2.0,29.41,29.0,1.97,2.25,1.9,3.0,O
29.25,28.5,2.25,2.5,1.0,1.0,27.07,27.33,2.86,2.44,1.0,0.5,G
29.25,28.5,2.25,2.5,1.0,1.0,25.25,26.57,3.0,3.0,0.33,0.56,O
27.25,27.75,3.0,2.25,1.0,1.0,25.5,24.0,2.75,3.75,0.33,0.33,O
27.25,27.75,3.0,2.25,1.0,1.0,27.0,27.95,2.71,2.63,0.4,0.46,O
30.53,29.67,2.11,2.56,1.71,2.0,25.89,22.25,2.11,1.75,1.25,1.0,G
30.53,29.67,2.11,2.56,1.71,2.0,23.11,25.33,3.22,2.0,0.5,0.5,O
30.53,29.67,2.11,2.56,1.71,2.0,26.61,28.5,3.04,2.57,0.75,0.56,G
25.78,28.33,2.67,2.67,0.29,1.25,24.0,24.33,3.33,3.67,0.09,0.0,O
25.78,28.33,2.67,2.67,0.29,1.25,24.0,24.62,3.0,3.38,0.33,0.32,O
29.78,28.75,1.78,3.25,2.0,3.0,27.25,25.75,2.25,3.5,0.33,0.33,O
29.78,28.75,1.78,3.25,2.0,3.0,29.55,29.59,1.83,2.24,1.64,1.83,G
29.78,28.75,1.78,3.25,2.0,3.0,29.95,29.89,2.0,2.11,1.44,1.11,O
27.95,30.26,2.58,1.74,1.71,2.8,20.25,18.0,2.25,3.5,0.33,0.33,G
27.95,30.26,2.58,1.74,1.71,2.8,30.33,31.22,1.56,2.22,3.5,8.0,O
27.95,30.26,2.58,1.74,1.71,2.8,29.56,27.58,2.38,2.92,1.0,0.6,O
27.95,30.26,2.58,1.74,1.71,2.8,30.53,29.67,2.11,2.56,1.71,2.0,G
31.32,28.79,1.63,2.07,5.33,2.22,27.0,27.95,2.71,2.63,0.4,0.46,O
31.32,28.79,1.63,2.07,5.33,2.22,27.25,25.75,2.25,3.5,0.33,0.33,G
31.32,28.79,1.63,2.07,5.33,2.22,21.5,26.11,2.75,2.89,0.33,0.8,O
29.25,28.86,2.0,2.64,3.0,1.0,24.5,26.5,3.0,3.44,1.0,0.38,G
29.25,28.86,2.0,2.64,3.0,1.0,27.67,28.71,2.67,2.21,0.8,1.33,O
29.25,28.86,2.0,2.64,3.0,1.0,29.5,29.33,2.0,2.78,1.0,0.8,G
27.67,29.5,2.33,2.44,2.0,1.57,26.25,27.25,3.75,2.5,0.33,0.33,O
27.67,29.5,2.33,2.44,2.0,1.57,27.0,27.95,2.71,2.63,0.4,0.46,G
27.67,29.5,2.33,2.44,2.0,1.57,27.75,27.44,2.75,2.67,1.0,2.0,O
28.56,28.25,1.67,2.25,2.0,3.0,26.11,27.36,3.11,2.5,0.29,0.56,G
28.56,28.25,1.67,2.25,2.0,3.0,26.67,27.25,2.5,2.75,0.5,1.0,O
28.56,28.25,1.67,2.25,2.0,3.0,27.93,28.33,2.36,2.11,0.56,0.8,G
29.41,29.0,1.97,2.25,1.9,3.0,25.89,26.0,3.67,3.33,0.12,0.12,O
29.41,29.0,1.97,2.25,1.9,3.0,26.44,26.67,2.78,2.56,0.8,0.8,O
29.41,29.0,1.97,2.25,1.9,3.0,28.05,28.0,2.47,2.67,1.11,1.0,O
27.5,28.25,3.5,2.0,1.0,1.0,27.64,29.75,3.36,2.25,0.75,0.33,G
27.5,28.25,3.5,2.0,1.0,1.0,25.25,26.57,3.0,3.0,0.33,0.56,G
27.33,28.71,3.44,2.43,1.25,1.8,25.0,26.75,3.5,1.75,1.0,1.0,O
27.33,28.71,3.44,2.43,1.25,1.8,29.25,28.86,2.0,2.64,3.0,1.0,G
27.79,28.04,2.05,2.0,1.11,0.92,29.47,28.13,1.97,3.07,1.31,1.5,G
29.13,29.3,2.13,2.2,2.0,2.33,28.0,25.0,2.5,4.0,0.0,0.0,G
29.13,29.3,2.13,2.2,2.0,2.33,28.13,27.3,2.27,3.1,1.14,1.0,G
29.13,29.3,2.13,2.2,2.0,2.33,29.37,28.0,2.32,3.0,2.17,0.67,G
27.0,27.95,2.71,2.63,0.4,0.46,27.33,27.4,3.47,2.85,0.36,0.33,G
25.21,25.5,2.79,2.96,0.27,0.5,27.33,27.4,3.47,2.85,0.36,0.33,G
30.53,29.9,2.11,2.6,1.71,2.33,27.33,27.4,3.47,2.85,0.36,0.33,G
30.53,29.9,2.11,2.6,1.71,2.33,29.8,29.07,1.7,2.37,2.33,1.14,O
30.53,29.9,2.11,2.6,1.71,2.33,30.07,28.98,2.02,2.38,1.69,1.35,G
31.0,30.57,1.86,2.24,2.5,2.38,25.21,25.5,2.79,2.96,0.27,0.5,G
31.0,30.57,1.86,2.24,2.5,2.38,29.48,30.2,2.2,1.9,2.57,2.33,O
31.0,30.57,1.86,2.24,2.5,2.38,30.07,28.98,2.02,2.38,1.69,1.35,G
28.83,30.79,2.28,1.97,1.42,2.62,29.47,28.13,1.97,3.07,1.31,1.5,G
28.83,30.79,2.28,1.97,1.42,2.62,29.15,28.2,2.35,2.6,0.82,1.5,G
28.83,30.79,2.28,1.97,1.42,2.62,29.48,30.2,2.2,1.9,2.57,2.33,G
28.83,30.79,2.28,1.97,1.42,2.62,27.6,27.95,2.53,2.58,1.14,1.71,O
28.13,27.3,2.27,3.1,1.14,1.0,25.83,25.59,2.83,2.86,0.5,0.38,O
28.13,27.3,2.27,3.1,1.14,1.0,27.0,27.95,2.71,2.63,0.4,0.46,O
28.71,25.8,2.21,3.7,1.33,0.43,29.56,28.6,1.89,3.0,1.25,0.67,O
28.71,25.8,2.21,3.7,1.33,0.43,27.4,25.4,2.8,3.8,0.5,0.25,O
29.8,29.07,1.7,2.37,2.33,1.14,28.0,25.0,2.5,4.0,0.0,0.0,O
29.8,29.07,1.7,2.37,2.33,1.14,28.29,26.6,2.43,3.4,1.0,0.67,O
29.8,29.07,1.7,2.37,2.33,1.14,27.79,28.04,2.05,2.0,1.11,0.92,O
29.3,31.12,2.4,1.76,1.5,4.0,28.3,30.0,3.1,1.8,2.33,2.33,O
29.3,31.12,2.4,1.76,1.5,4.0,29.0,29.0,2.42,3.0,0.5,0.5,O
29.3,31.12,2.4,1.76,1.5,4.0,27.79,28.04,2.05,2.0,1.11,0.92,G
30.6,30.26,1.67,1.74,1.5,2.8,28.0,28.0,3.4,2.67,0.25,0.67,G
30.6,30.26,1.67,1.74,1.5,2.8,28.13,27.3,2.27,3.1,1.14,1.0,O
30.6,30.26,1.67,1.74,1.5,2.8,29.37,28.0,2.32,3.0,2.17,0.67,O
30.6,30.26,1.67,1.74,1.5,2.8,30.53,29.9,2.11,2.6,1.71,2.33,O
29.0,30.05,2.8,1.75,1.5,1.86,27.33,27.4,3.47,2.85,0.36,0.33,O
29.0,30.05,2.8,1.75,1.5,1.86,29.13,29.3,2.13,2.2,2.0,2.33,G
29.0,30.05,2.8,1.75,1.5,1.86,28.78,29.64,2.44,2.21,1.25,1.33,G
29.0,30.05,2.8,1.75,1.5,1.86,29.3,31.12,2.4,1.76,1.5,4.0,O
